"Points:0","Points:1","Points:2"
1.61669,21.182,-6.28523
3.70158,23.9697,-8.46297
3.41728,23.5265,-8.07406
4.76021,23.1998,-8.80865
0.563698,56.2512,-23.2005
10.8491,30.578,-28.0692
10.9023,29.9537,-27.2869
4.12253,35.3855,-15.7317
5.38209,34.6202,-16.1966
4.50145,33.8712,-14.874
7.09862,33.0237,-17.397
11.8219,39.7897,-36.2221
17.1915,41.7339,-42.1221
16.2529,42.0005,-41.9222
17.8332,41.0351,-42.1511
17.8451,42.4952,-42.102
11.1814,45.669,-35.6463
10.2149,44.9526,-34.3942
10.4806,45.6957,-34.5218
0.313566,50.4572,-23.5856
0.896681,51.1811,-23.7142
3.35897,48.1097,-24.0881
3.50611,46.643,-23.5178
9.30255,52.4422,-28.106
5.44048,54.885,-24.9375
0.894795,68.3877,-23.484
0.33298,67.6131,-23.3197
5.04917,79.4508,-26.2113
17.7514,44.8166,-41.3723
19.2579,45.4012,-40.7416
11.6433,51.0136,-31.1657
7.32291,58.5201,-24.3457
7.37092,59.8083,-24.0216
12.6844,62.0455,-24.0647
13.8712,62.7817,-24.1409
15.4862,67.9581,-24.4435
22.5773,63.263,-25.154
16.8019,80.5064,-27.9411
20.3737,73.9964,-26.7146
3.47281,95.2389,-28.0278
2.18669,102.774,-29.394
21.0014,96.8064,-32.5197
24.8709,91.6726,-32.6758
26.697,96.918,-34.5607
32.4428,99.8553,-38.4746
64.4828,-40.2825,-110.455
65.2061,-38.8109,-111.067
68.184,-32.0667,-107.157
67.6935,-33.5076,-105.746
79.2866,-11.2998,-144.698
79.0946,-10.5362,-143.965
69.6572,-10.2903,-135.341
70.1122,-10.883,-135.576
71.1033,-8.85938,-120.342
72.2371,-5.90039,-136.215
71.1749,-6.5928,-135.312
71.1867,-5.10224,-135.396
75.3362,-4.45864,-139.627
74.656,-4.4409,-139.01
75.8494,-11.2054,-139.931
75.0054,-11.1842,-138.9
67.3999,-6.59911,-133.55
67.1375,-7.2316,-133.607
67.4219,-7.34797,-134.209
67.1164,-7.23349,-132.823
69.8265,-2.18457,-134.469
69.2256,-2.80858,-134.109
69.6223,-1.32026,-133.851
69.1183,-1.88804,-133.183
81.7726,6.50137,-146.446
82.0757,5.90473,-147.196
82.6704,0.562388,-146.298
82.757,-6.12093,-146.934
82.5505,-7.48468,-147.2
88.378,0.446709,-155.6
73.9841,14.3633,-156.812
75.7329,21.0159,-156.967
76.6213,20.2422,-157.699
77.0146,21.0815,-157.788
81.3867,17.1225,-157.56
81.2589,15.6349,-157.368
90.1913,3.4124,-157.777
86.2341,15.0736,-155.162
87.8558,15.4268,-155.171
89.1162,14.6209,-155.461
89.8661,13.1198,-155.853
88.8342,13.728,-155.234
75.8726,1.51691,-139.169
77.0981,2.2337,-139.789
79.5814,2.898,-141.646
78.1713,2.93508,-140.465
74.1511,11.2931,-133.591
74.2675,12.0276,-132.819
75.1241,12.7824,-135.735
75.4477,15.712,-128.747
77.8335,29.1565,-137.48
80.3701,27.7144,-153.794
79.6882,28.0744,-153.814
79.9443,27.5391,-154.575
81.0333,27.0452,-153.87
81.2731,27.2062,-153.223
80.7674,27.7702,-152.948
80.0801,28.1304,-152.989
88.1691,28.1302,-154.241
94.3039,20.5094,-163.699
93.7059,21.2566,-163.538
86.9837,18.4337,-155.272
87.0187,19.9432,-155.229
93.5836,27.2458,-164.537
93.1287,28.0201,-164.785
92.5646,27.276,-164.744
93.0217,26.502,-164.599
96.5992,30.7949,-162.924
96.5678,31.6258,-162.811
94.6436,36.254,-162.989
92.0901,40.0568,-158.98
84.0981,29.7372,-150.614
81.4905,34.3941,-147.307
81.2259,33.5018,-147.435
81.4787,34.2371,-148.149
81.3512,33.6456,-146.598
84.1057,43.2337,-138.363
83.4524,41.7178,-137.059
83.3489,43.1619,-137.23
88.7071,40.735,-152.677
88.5904,41.4762,-151.916
98.5114,44.8779,-154.267
97.7872,44.2595,-154.549
98.5323,44.1998,-155.141
97.9544,44.6524,-153.775
98.4087,45.6891,-153.606
97.6136,44.6913,-153.482
90.3795,45.3352,-142.228
89.952,44.556,-141.839
93.2881,48.143,-145.616
9.49982,-73.848,-40.3844
10.3054,-73.9897,-40.8909
25.1006,-72.6121,-61.4303
35.5104,-64.9957,-66.0112
35.0042,-65.0258,-64.5256
16.0876,-76.7558,-51.1096
25.8173,-72.1407,-58.9261
34.9872,-61.0226,-58.5798
16.7386,-74.967,-46.9851
17.3867,-74.5456,-46.9856
16.7909,-74.0726,-45.583
13.1108,-72.5198,-41.0496
12.3356,-72.4491,-40.5053
21.2948,-68.9915,-45.3854
21.5829,-65.2336,-43.6943
29.8105,-60.1532,-52.0211
0.112943,-73.8025,-38.4079
0.901342,-72.9073,-37.641
3.17811,-60.4484,-34.3777
2.20426,-53.5226,-35.8466
6.29938,-54.3908,-36.0792
2.88613,-70.7478,-36.4171
3.28068,-69.1408,-35.7198
6.52947,-67.0751,-35.3513
7.61441,-72.4492,-38.3603
10.6868,-68.7407,-37.0734
10.1445,-69.4849,-37.2225
11.9604,-68.0064,-37.3557
11.2344,-62.7075,-35.9672
10.8414,-63.497,-35.8267
11.6808,-62.0195,-36.1773
11.2755,-61.2879,-36.0548
10.925,-60.4274,-36.023
15.1779,-68.9022,-39.7711
16.2839,-62.0949,-38.6762
12.6228,-56.8704,-37.5109
11.4847,-57.4896,-36.9017
17.7286,-59.1416,-39.8906
14.7403,-53.1575,-38.332
17.1044,-48.816,-37.7377
22.6245,-59.1712,-43.6972
21.723,-53.3283,-41.9091
